freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.599e+02,3.268e+01,1.232e+01,2.049e+02
1.6,1.078e+02,4.193e+01,5.445e+01,2.042e+02
3.2,5.062e+01,2.973e+01,6.789e+01,1.482e+02
4.8,5.756e+02,3.105e+01,6.480e+01,6.714e+02
6.4,1.295e+03,3.691e+01,6.403e+01,1.396e+03
8.1,1.680e+03,4.309e+01,6.776e+01,1.791e+03
9.7,2.403e+03,3.717e+01,6.828e+01,2.508e+03
11.3,3.290e+03,3.471e+01,6.318e+01,3.388e+03
12.9,4.266e+03,4.262e+01,6.131e+01,4.370e+03
14.5,5.346e+03,4.613e+01,5.825e+01,5.450e+03
16.1,6.431e+03,4.712e+01,6.804e+01,6.546e+03
17.7,7.569e+03,4.605e+01,7.180e+01,7.687e+03
19.3,8.682e+03,4.604e+01,6.968e+01,8.798e+03
21.0,9.934e+03,4.616e+01,6.954e+01,1.005e+04
22.6,1.124e+04,4.501e+01,7.311e+01,1.136e+04
24.2,1.259e+04,3.662e+01,7.637e+01,1.270e+04
25.8,1.453e+04,4.253e+01,7.397e+01,1.464e+04
27.4,1.741e+04,6.009e+01,8.187e+01,1.756e+04
29.0,1.727e+04,5.451e+01,1.408e+02,1.746e+04
30.6,1.719e+04,4.992e+01,1.450e+02,1.738e+04
32.2,1.937e+04,5.312e+01,1.217e+02,1.954e+04
33.9,1.961e+04,5.204e+01,1.250e+02,1.979e+04
35.5,1.867e+04,5.493e+01,1.323e+02,1.885e+04
37.1,1.976e+04,6.042e+01,1.253e+02,1.995e+04
38.7,2.149e+04,7.251e+01,1.103e+02,2.167e+04
40.3,2.237e+04,8.068e+01,9.646e+01,2.254e+04
41.9,2.324e+04,8.790e+01,9.057e+01,2.342e+04
43.5,2.595e+04,1.178e+02,1.082e+02,2.617e+04
45.1,2.936e+04,1.633e+02,1.482e+02,2.967e+04
46.8,3.177e+04,2.316e+02,1.686e+02,3.217e+04
48.4,3.450e+04,3.867e+02,2.099e+02,3.510e+04
50.0,3.731e+04,1.036e+03,4.160e+02,3.876e+04
51.6,3.793e+04,2.649e+03,1.101e+03,4.168e+04
53.2,3.718e+04,4.279e+03,2.236e+03,4.370e+04
54.8,4.084e+04,4.762e+03,3.544e+03,4.915e+04
56.4,4.893e+04,3.386e+03,3.524e+03,5.584e+04
58.0,5.725e+04,1.704e+03,1.846e+03,6.080e+04
59.7,6.316e+04,1.187e+03,5.913e+02,6.494e+04
61.3,6.958e+04,1.031e+03,2.403e+02,7.085e+04
62.9,7.652e+04,9.766e+02,2.358e+02,7.773e+04
64.5,8.409e+04,1.042e+03,2.708e+02,8.540e+04
66.1,9.451e+04,1.148e+03,2.995e+02,9.596e+04
67.7,1.054e+05,1.308e+03,3.479e+02,1.071e+05
69.3,1.171e+05,1.405e+03,4.524e+02,1.190e+05
70.9,1.312e+05,2.228e+03,6.011e+02,1.340e+05
72.6,1.377e+05,1.163e+04,8.306e+02,1.502e+05
74.2,1.232e+05,2.274e+04,7.189e+02,1.466e+05
75.8,1.363e+05,1.464e+04,4.730e+02,1.514e+05
77.4,1.889e+05,9.832e+03,7.843e+02,1.995e+05
79.0,2.293e+05,1.842e+04,1.436e+03,2.491e+05
80.6,2.234e+05,3.273e+04,1.901e+03,2.580e+05
82.2,1.968e+05,4.100e+04,1.731e+03,2.395e+05
83.8,2.115e+05,4.800e+04,1.502e+03,2.610e+05
85.5,2.947e+05,5.699e+04,1.756e+03,3.534e+05
87.1,4.414e+05,7.761e+04,3.469e+03,5.225e+05
88.7,6.292e+05,1.541e+05,5.913e+03,7.891e+05
