freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.193e+01,2.895e+02,4.634e+01,3.478e+02
1.6,3.515e+01,1.860e+02,7.690e+01,2.981e+02
3.2,3.823e+01,7.025e+01,6.861e+01,1.771e+02
4.8,4.050e+01,8.275e+02,6.852e+01,9.365e+02
6.5,4.419e+01,1.793e+03,7.474e+01,1.912e+03
8.1,3.551e+01,1.432e+03,7.740e+01,1.545e+03
9.7,3.726e+01,2.204e+03,7.243e+01,2.314e+03
11.3,3.970e+01,3.242e+03,6.893e+01,3.350e+03
12.9,4.420e+01,4.246e+03,8.488e+01,4.375e+03
14.5,4.196e+01,5.095e+03,8.267e+01,5.219e+03
16.1,3.808e+01,6.050e+03,6.794e+01,6.156e+03
17.8,4.000e+01,6.910e+03,6.419e+01,7.014e+03
19.4,3.604e+01,7.672e+03,6.807e+01,7.776e+03
21.0,3.225e+01,8.679e+03,6.240e+01,8.773e+03
22.6,3.904e+01,9.977e+03,6.724e+01,1.008e+04
24.2,4.171e+01,1.155e+04,7.496e+01,1.166e+04
25.8,4.071e+01,1.328e+04,7.129e+01,1.339e+04
27.4,4.199e+01,1.462e+04,9.640e+01,1.476e+04
29.0,4.265e+01,1.473e+04,1.253e+02,1.490e+04
30.7,5.122e+01,1.627e+04,1.161e+02,1.644e+04
32.3,5.968e+01,1.821e+04,1.126e+02,1.839e+04
33.9,6.755e+01,1.938e+04,9.994e+01,1.955e+04
35.5,6.429e+01,2.136e+04,1.057e+02,2.153e+04
37.1,6.670e+01,2.418e+04,1.128e+02,2.436e+04
38.7,7.653e+01,2.681e+04,1.163e+02,2.700e+04
40.3,8.970e+01,2.816e+04,1.247e+02,2.838e+04
42.0,8.784e+01,2.954e+04,1.244e+02,2.975e+04
43.6,9.801e+01,3.277e+04,1.483e+02,3.302e+04
45.2,1.162e+02,3.598e+04,2.187e+02,3.632e+04
46.8,2.085e+02,4.016e+04,2.932e+02,4.067e+04
48.4,2.361e+02,4.459e+04,3.474e+02,4.517e+04
50.0,2.096e+02,4.920e+04,4.568e+02,4.987e+04
51.6,2.365e+02,5.333e+04,5.958e+02,5.416e+04
53.3,2.918e+02,5.613e+04,9.470e+02,5.736e+04
54.9,3.704e+02,5.964e+04,1.366e+03,6.137e+04
56.5,3.345e+02,5.619e+04,1.221e+03,5.775e+04
58.1,1.999e+02,5.270e+04,9.232e+02,5.383e+04
59.7,1.764e+02,6.056e+04,1.343e+03,6.208e+04
61.3,2.346e+02,7.233e+04,2.132e+03,7.470e+04
62.9,3.246e+02,8.298e+04,3.378e+03,8.668e+04
64.6,4.067e+02,9.091e+04,5.362e+03,9.668e+04
66.2,5.155e+02,1.021e+05,9.449e+03,1.121e+05
67.8,7.470e+02,1.195e+05,1.979e+04,1.400e+05
69.4,1.134e+03,1.267e+05,3.594e+04,1.638e+05
71.0,1.324e+03,1.003e+05,4.241e+04,1.441e+05
72.6,1.478e+03,8.030e+04,5.337e+04,1.352e+05
74.2,1.535e+03,7.324e+04,7.633e+04,1.511e+05
75.9,1.276e+03,9.044e+04,1.131e+05,2.048e+05
77.5,5.710e+02,1.105e+05,1.218e+05,2.328e+05
79.1,4.059e+02,1.686e+05,1.318e+05,3.008e+05
80.7,8.385e+02,3.387e+05,1.704e+05,5.099e+05
82.3,1.401e+03,5.687e+05,1.993e+05,7.693e+05
83.9,1.746e+03,7.321e+05,1.870e+05,9.208e+05
85.5,2.120e+03,8.839e+05,1.699e+05,1.056e+06
87.1,3.066e+03,8.727e+05,1.387e+05,1.014e+06
88.8,7.550e+03,9.990e+05,1.277e+05,1.134e+06
90.4,1.318e+04,1.505e+06,1.551e+05,1.673e+06
92.0,1.807e+04,1.786e+06,1.536e+05,1.958e+06
93.6,1.416e+04,1.721e+06,1.251e+05,1.860e+06
95.2,9.195e+03,1.606e+06,1.026e+05,1.717e+06
96.8,1.506e+04,1.268e+06,7.406e+04,1.357e+06
98.4,9.951e+03,1.165e+06,6.293e+04,1.238e+06
100.1,3.473e+03,9.896e+05,5.302e+04,1.046e+06
101.7,3.552e+03,8.374e+05,3.288e+04,8.738e+05
103.3,6.436e+03,8.515e+05,1.702e+04,8.750e+05
104.9,6.664e+03,7.385e+05,1.667e+04,7.619e+05
106.5,6.935e+03,6.203e+05,1.543e+04,6.426e+05
108.1,6.859e+03,5.393e+05,1.415e+04,5.603e+05
109.7,6.761e+03,4.608e+05,1.262e+04,4.802e+05
111.4,6.714e+03,3.690e+05,1.054e+04,3.863e+05
113.0,4.924e+03,3.340e+05,7.370e+03,3.463e+05
114.6,2.297e+03,3.650e+05,5.646e+03,3.730e+05
116.2,2.453e+03,3.148e+05,5.345e+03,3.226e+05
117.8,2.941e+03,2.441e+05,4.589e+03,2.517e+05
119.4,3.214e+03,1.902e+05,3.807e+03,1.973e+05
121.0,3.234e+03,1.415e+05,2.965e+03,1.477e+05
122.7,3.421e+03,1.132e+05,2.524e+03,1.191e+05
124.3,3.866e+03,1.025e+05,2.417e+03,1.088e+05
125.9,6.707e+03,9.499e+04,2.557e+03,1.042e+05
127.5,1.524e+05,1.191e+05,1.366e+04,2.852e+05
129.1,3.727e+05,1.610e+05,2.932e+04,5.630e+05
130.7,1.260e+05,1.004e+05,9.783e+03,2.362e+05
132.3,3.143e+04,6.251e+04,3.342e+03,9.728e+04
134.0,2.343e+03,1.304e+04,5.134e+02,1.590e+04
135.6,7.912e+02,8.167e+02,9.982e+01,1.708e+03
137.2,7.313e+02,6.175e+02,1.113e+02,1.460e+03
138.8,7.008e+02,8.815e+02,2.970e+02,1.879e+03
140.4,6.034e+02,3.090e+03,1.498e+03,5.192e+03
142.0,4.971e+02,6.916e+03,3.446e+03,1.086e+04
143.6,3.699e+02,8.893e+03,4.511e+03,1.377e+04
145.2,3.243e+02,6.793e+03,3.566e+03,1.068e+04
146.9,8.021e+02,2.740e+03,1.623e+03,5.164e+03
148.5,4.009e+03,1.579e+03,1.303e+03,6.892e+03
150.1,4.614e+03,2.484e+03,1.382e+03,8.480e+03
151.7,1.003e+03,1.054e+03,5.900e+02,2.648e+03
153.3,5.029e+02,5.210e+02,3.925e+02,1.416e+03
154.9,4.980e+02,7.417e+02,3.801e+02,1.620e+03
156.5,5.462e+02,1.109e+03,4.158e+02,2.071e+03
158.2,4.248e+02,1.796e+03,6.109e+02,2.832e+03
159.8,4.156e+02,3.316e+03,1.158e+03,4.890e+03
161.4,2.459e+02,5.136e+03,2.291e+03,7.672e+03
163.0,1.620e+02,5.789e+03,4.233e+03,1.018e+04
164.6,1.669e+02,5.580e+03,6.099e+03,1.185e+04
