freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.428e+01,3.067e+02,2.959e+01,3.506e+02
1.6,4.081e+01,1.911e+02,6.230e+01,2.942e+02
3.2,9.203e+01,6.131e+01,6.722e+01,2.206e+02
4.8,4.141e+02,6.435e+02,8.556e+01,1.143e+03
6.5,6.184e+02,2.210e+03,1.033e+02,2.931e+03
8.1,2.711e+02,3.128e+03,1.180e+02,3.517e+03
9.7,9.390e+01,2.210e+03,1.115e+02,2.416e+03
11.3,6.294e+01,2.569e+03,9.381e+01,2.726e+03
12.9,4.747e+01,3.536e+03,9.384e+01,3.677e+03
14.5,4.712e+01,4.541e+03,1.115e+02,4.700e+03
16.1,5.050e+01,5.592e+03,1.202e+02,5.763e+03
17.7,4.928e+01,6.865e+03,1.128e+02,7.027e+03
19.4,4.692e+01,8.180e+03,1.172e+02,8.344e+03
21.0,4.607e+01,9.581e+03,1.249e+02,9.752e+03
22.6,5.163e+01,1.068e+04,1.325e+02,1.087e+04
24.2,3.940e+01,1.141e+04,8.673e+01,1.153e+04
25.8,3.174e+01,1.250e+04,7.106e+01,1.260e+04
27.4,4.037e+01,1.417e+04,9.748e+01,1.431e+04
29.0,5.439e+01,1.541e+04,1.744e+02,1.564e+04
30.7,6.166e+01,1.748e+04,1.719e+02,1.772e+04
32.3,5.268e+01,1.971e+04,1.687e+02,1.993e+04
33.9,4.443e+01,2.107e+04,1.890e+02,2.131e+04
35.5,4.523e+01,2.383e+04,2.118e+02,2.409e+04
37.1,5.275e+01,2.754e+04,2.890e+02,2.788e+04
38.7,5.210e+01,3.029e+04,4.367e+02,3.077e+04
40.3,5.205e+01,3.140e+04,6.241e+02,3.208e+04
41.9,5.737e+01,3.201e+04,9.365e+02,3.300e+04
43.6,5.486e+01,3.566e+04,1.762e+03,3.747e+04
45.2,5.520e+01,4.295e+04,3.864e+03,4.687e+04
46.8,7.354e+01,3.915e+04,5.536e+03,4.476e+04
48.4,6.723e+01,2.178e+04,5.156e+03,2.700e+04
50.0,5.954e+01,1.350e+04,8.718e+03,2.228e+04
51.6,1.149e+02,6.967e+03,2.125e+04,2.834e+04
53.2,3.201e+02,4.561e+04,6.316e+04,1.091e+05
54.9,5.556e+02,2.137e+05,1.105e+05,3.248e+05
56.5,6.515e+02,3.304e+05,8.348e+04,4.145e+05
58.1,7.479e+02,3.486e+05,4.881e+04,3.981e+05
59.7,8.655e+02,3.723e+05,3.313e+04,4.063e+05
61.3,1.199e+03,4.392e+05,2.739e+04,4.678e+05
62.9,1.846e+03,5.727e+05,2.675e+04,6.013e+05
64.5,3.031e+03,7.691e+05,2.882e+04,8.010e+05
66.1,4.614e+03,9.284e+05,3.246e+04,9.655e+05
67.8,6.089e+03,1.008e+06,3.319e+04,1.048e+06
69.4,8.125e+03,1.059e+06,3.163e+04,1.099e+06
71.0,1.192e+04,1.018e+06,2.813e+04,1.058e+06
72.6,1.547e+04,7.401e+05,1.849e+04,7.740e+05
74.2,1.202e+04,4.437e+05,1.022e+04,4.659e+05
75.8,6.568e+03,4.720e+05,9.585e+03,4.881e+05
77.4,4.487e+03,5.163e+05,1.012e+04,5.309e+05
79.0,1.072e+04,5.810e+05,1.123e+04,6.030e+05
80.7,1.428e+04,6.488e+05,1.216e+04,6.753e+05
82.3,1.435e+04,6.253e+05,1.136e+04,6.510e+05
83.9,1.252e+04,5.546e+05,9.456e+03,5.766e+05
85.5,6.588e+03,4.735e+05,7.898e+03,4.880e+05
87.1,2.293e+03,3.519e+05,6.999e+03,3.612e+05
88.7,6.402e+03,3.272e+05,8.268e+03,3.418e+05
90.3,1.823e+04,3.559e+05,9.352e+03,3.835e+05
92.0,2.541e+04,3.607e+05,9.408e+03,3.955e+05
93.6,2.507e+04,3.325e+05,9.055e+03,3.666e+05
95.2,1.462e+04,2.467e+05,7.040e+03,2.683e+05
96.8,1.251e+04,2.349e+05,4.902e+03,2.523e+05
98.4,2.090e+04,2.942e+05,4.968e+03,3.200e+05
100.0,1.780e+04,2.666e+05,5.446e+03,2.898e+05
101.6,1.151e+04,2.200e+05,6.665e+03,2.382e+05
103.2,7.723e+03,1.755e+05,4.926e+03,1.881e+05
104.9,9.720e+03,1.947e+05,5.524e+03,2.099e+05
106.5,9.368e+03,1.974e+05,6.276e+03,2.131e+05
108.1,7.534e+03,1.732e+05,5.963e+03,1.867e+05
109.7,5.822e+03,1.489e+05,5.535e+03,1.603e+05
111.3,4.713e+03,1.264e+05,4.993e+03,1.361e+05
112.9,3.884e+03,1.078e+05,4.641e+03,1.164e+05
114.5,3.360e+03,9.086e+04,4.382e+03,9.861e+04
116.2,2.822e+03,7.454e+04,4.038e+03,8.140e+04
117.8,2.399e+03,5.897e+04,3.318e+03,6.469e+04
119.4,2.081e+03,4.795e+04,2.918e+03,5.295e+04
121.0,1.745e+03,3.857e+04,2.505e+03,4.282e+04
122.6,1.620e+03,3.235e+04,2.073e+03,3.604e+04
124.2,1.671e+03,3.093e+04,2.289e+03,3.489e+04
125.8,1.723e+03,2.855e+04,2.559e+03,3.284e+04
127.4,1.823e+03,2.550e+04,2.675e+03,3.000e+04
129.1,1.939e+03,2.282e+04,3.167e+03,2.793e+04
130.7,2.113e+03,1.996e+04,4.128e+03,2.620e+04
132.3,1.690e+03,1.345e+04,4.294e+03,1.944e+04
133.9,3.474e+02,4.045e+03,3.018e+03,7.410e+03
135.5,4.956e+01,2.664e+03,2.836e+03,5.550e+03
137.1,4.905e+01,2.836e+03,2.953e+03,5.839e+03
138.7,7.462e+01,2.801e+03,3.212e+03,6.087e+03
140.4,1.448e+02,2.836e+03,3.586e+03,6.567e+03
142.0,1.667e+02,3.203e+03,3.465e+03,6.835e+03
143.6,1.394e+02,3.584e+03,3.282e+03,7.005e+03
145.2,2.359e+02,4.341e+03,4.328e+03,8.904e+03
146.8,5.124e+02,5.647e+03,7.477e+03,1.364e+04
148.4,1.099e+03,5.128e+03,9.227e+03,1.545e+04
150.0,1.433e+03,3.314e+03,6.831e+03,1.158e+04
151.6,1.408e+03,1.464e+03,3.311e+03,6.183e+03
153.3,2.774e+03,1.357e+03,1.763e+03,5.895e+03
154.9,5.123e+03,4.087e+03,1.825e+03,1.103e+04
156.5,2.162e+03,3.288e+03,2.031e+03,7.480e+03
158.1,6.010e+02,1.788e+03,1.524e+03,3.913e+03
159.7,5.324e+02,1.523e+03,1.207e+03,3.262e+03
161.3,6.140e+02,1.689e+03,1.002e+03,3.305e+03
162.9,6.466e+02,1.863e+03,7.735e+02,3.283e+03
164.6,8.931e+02,2.304e+03,5.834e+02,3.780e+03
166.2,8.930e+02,2.474e+03,4.149e+02,3.782e+03
167.8,6.856e+02,2.178e+03,2.700e+02,3.133e+03
169.4,5.607e+02,1.755e+03,1.726e+02,2.488e+03
171.0,5.291e+02,1.412e+03,1.345e+02,2.075e+03
172.6,5.204e+02,1.240e+03,1.276e+02,1.888e+03
174.2,5.482e+02,1.272e+03,1.286e+02,1.949e+03
175.8,6.282e+02,1.437e+03,1.305e+02,2.195e+03
177.5,6.913e+02,1.412e+03,1.351e+02,2.238e+03
179.1,8.015e+02,1.334e+03,1.438e+02,2.279e+03
180.7,9.232e+02,1.271e+03,1.836e+02,2.378e+03
182.3,1.176e+03,1.242e+03,2.152e+02,2.633e+03
183.9,1.370e+03,9.663e+02,2.063e+02,2.543e+03
185.5,1.449e+03,8.553e+02,2.495e+02,2.554e+03
187.1,1.590e+03,9.603e+02,3.020e+02,2.852e+03
188.7,1.848e+03,1.273e+03,3.782e+02,3.499e+03
190.4,2.628e+03,2.120e+03,5.489e+02,5.296e+03
192.0,3.620e+03,4.126e+03,7.711e+02,8.518e+03
193.6,3.157e+03,6.026e+03,9.933e+02,1.018e+04
195.2,2.076e+03,5.536e+03,1.000e+03,8.613e+03
196.8,1.924e+03,5.243e+03,1.018e+03,8.184e+03
198.4,1.559e+03,5.227e+03,8.995e+02,7.686e+03
