freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.002e+02,8.447e+00,1.132e+01,2.200e+02
1.6,1.349e+02,2.364e+01,5.574e+01,2.142e+02
3.2,5.167e+01,2.663e+01,6.387e+01,1.422e+02
4.8,5.606e+02,2.678e+01,6.612e+01,6.535e+02
6.5,1.346e+03,3.180e+01,6.131e+01,1.439e+03
8.1,1.932e+03,3.838e+01,6.086e+01,2.031e+03
9.7,2.832e+03,3.740e+01,6.269e+01,2.932e+03
11.3,3.854e+03,3.270e+01,7.140e+01,3.958e+03
12.9,4.927e+03,2.810e+01,7.003e+01,5.025e+03
14.5,6.020e+03,2.973e+01,6.551e+01,6.115e+03
16.1,7.269e+03,2.870e+01,6.583e+01,7.364e+03
17.7,8.568e+03,2.764e+01,6.546e+01,8.661e+03
19.4,9.875e+03,2.721e+01,6.199e+01,9.964e+03
21.0,1.114e+04,3.084e+01,6.151e+01,1.123e+04
22.6,1.250e+04,3.203e+01,6.355e+01,1.259e+04
24.2,1.391e+04,2.967e+01,6.723e+01,1.401e+04
25.8,1.539e+04,3.236e+01,6.697e+01,1.549e+04
27.4,1.754e+04,3.380e+01,6.459e+01,1.764e+04
29.0,1.872e+04,3.673e+01,6.578e+01,1.883e+04
30.7,1.861e+04,4.239e+01,7.070e+01,1.872e+04
32.3,1.937e+04,3.810e+01,7.016e+01,1.948e+04
33.9,1.918e+04,3.515e+01,6.273e+01,1.928e+04
35.5,1.955e+04,3.644e+01,6.969e+01,1.966e+04
37.1,2.112e+04,4.434e+01,7.565e+01,2.124e+04
38.7,2.259e+04,5.702e+01,7.181e+01,2.272e+04
40.3,2.330e+04,6.511e+01,7.050e+01,2.344e+04
41.9,2.412e+04,8.856e+01,7.626e+01,2.429e+04
43.6,2.631e+04,1.050e+02,7.341e+01,2.649e+04
45.2,2.860e+04,1.224e+02,7.513e+01,2.880e+04
46.8,3.068e+04,1.248e+02,7.426e+01,3.088e+04
48.4,3.229e+04,1.084e+02,7.653e+01,3.248e+04
50.0,3.314e+04,8.961e+01,6.888e+01,3.330e+04
51.6,3.292e+04,7.507e+01,7.245e+01,3.306e+04
53.2,3.191e+04,7.508e+01,7.648e+01,3.206e+04
54.9,3.325e+04,9.721e+01,8.083e+01,3.343e+04
56.5,3.549e+04,9.239e+01,7.525e+01,3.566e+04
58.1,3.849e+04,5.358e+01,7.086e+01,3.862e+04
59.7,4.210e+04,4.421e+01,6.729e+01,4.221e+04
61.3,4.536e+04,5.265e+01,7.056e+01,4.549e+04
62.9,4.884e+04,8.156e+01,6.870e+01,4.899e+04
64.5,5.264e+04,1.359e+02,7.055e+01,5.284e+04
66.1,5.640e+04,2.442e+02,7.337e+01,5.672e+04
67.8,5.935e+04,4.360e+02,8.237e+01,5.987e+04
69.4,6.065e+04,5.967e+02,1.087e+02,6.136e+04
71.0,6.002e+04,6.607e+02,1.402e+02,6.083e+04
72.6,5.642e+04,6.241e+02,1.623e+02,5.721e+04
74.2,5.356e+04,5.805e+02,2.160e+02,5.436e+04
75.8,5.590e+04,5.777e+02,2.115e+02,5.669e+04
77.4,6.194e+04,6.909e+02,2.541e+02,6.289e+04
79.0,6.664e+04,5.176e+02,3.020e+02,6.746e+04
80.7,7.262e+04,5.480e+02,1.887e+02,7.335e+04
82.3,8.110e+04,3.886e+02,1.710e+02,8.166e+04
83.9,8.999e+04,2.260e+02,1.914e+02,9.041e+04
85.5,1.008e+05,3.693e+02,1.581e+02,1.014e+05
87.1,1.155e+05,1.083e+03,2.509e+02,1.168e+05
88.7,1.213e+05,1.361e+03,3.424e+02,1.230e+05
90.3,1.204e+05,9.793e+02,2.167e+02,1.216e+05
92.0,1.337e+05,1.760e+03,2.035e+02,1.357e+05
93.6,1.530e+05,4.720e+03,3.053e+02,1.580e+05
95.2,1.665e+05,8.993e+03,4.581e+02,1.760e+05
96.8,1.798e+05,1.387e+04,7.065e+02,1.943e+05
98.4,2.002e+05,1.908e+04,1.054e+03,2.203e+05
100.0,2.301e+05,2.301e+04,1.864e+03,2.549e+05
101.6,2.717e+05,1.848e+04,2.767e+03,2.929e+05
103.2,2.998e+05,6.837e+03,1.181e+03,3.079e+05
104.9,3.398e+05,5.610e+03,1.616e+02,3.456e+05
106.5,3.827e+05,5.492e+03,9.407e+01,3.883e+05
108.1,4.175e+05,6.188e+03,9.694e+01,4.238e+05
109.7,4.754e+05,8.462e+03,1.285e+02,4.840e+05
111.3,5.656e+05,1.419e+04,1.845e+02,5.800e+05
112.9,6.651e+05,2.173e+04,3.341e+02,6.872e+05
114.5,7.889e+05,1.467e+04,4.641e+02,8.041e+05
116.2,9.456e+05,9.938e+03,4.234e+02,9.559e+05
117.8,1.079e+06,1.242e+04,4.342e+02,1.092e+06
119.4,1.195e+06,1.750e+04,4.823e+02,1.213e+06
121.0,1.172e+06,2.094e+04,4.648e+02,1.194e+06
122.6,1.220e+06,2.873e+04,5.302e+02,1.249e+06
124.2,1.358e+06,4.251e+04,7.179e+02,1.401e+06
125.8,1.394e+06,5.589e+04,9.645e+02,1.451e+06
127.4,1.576e+06,1.045e+05,1.147e+04,1.692e+06
129.1,1.836e+06,1.681e+05,2.754e+04,2.032e+06
130.7,1.237e+06,8.059e+04,4.510e+03,1.322e+06
132.3,8.290e+05,4.860e+04,3.684e+02,8.779e+05
133.9,2.004e+05,1.266e+04,1.400e+02,2.132e+05
135.5,1.396e+04,1.920e+03,8.714e+01,1.597e+04
137.1,9.745e+03,1.434e+03,9.055e+01,1.127e+04
138.7,8.874e+03,1.034e+03,7.830e+01,9.986e+03
140.4,7.728e+03,9.123e+02,7.540e+01,8.715e+03
142.0,6.126e+03,7.890e+02,7.803e+01,6.993e+03
143.6,5.156e+03,6.810e+02,7.248e+01,5.909e+03
145.2,4.392e+03,5.626e+02,7.953e+01,5.034e+03
146.8,3.981e+03,7.071e+02,1.160e+02,4.804e+03
148.4,3.833e+03,1.097e+03,1.569e+02,5.086e+03
150.0,2.960e+03,5.008e+02,1.252e+02,3.587e+03
151.6,3.081e+03,3.063e+02,7.975e+01,3.467e+03
153.3,3.165e+03,2.817e+02,7.119e+01,3.518e+03
154.9,2.849e+03,2.921e+02,8.190e+01,3.223e+03
156.5,3.157e+03,5.876e+02,8.482e+01,3.829e+03
158.1,3.323e+03,5.566e+02,8.952e+01,3.969e+03
159.7,3.621e+03,2.954e+02,1.021e+02,4.018e+03
161.3,3.709e+03,3.957e+02,1.420e+02,4.247e+03
162.9,3.145e+03,5.936e+02,2.303e+02,3.969e+03
164.6,2.747e+03,6.921e+02,3.027e+02,3.741e+03
166.2,2.424e+03,5.318e+02,2.630e+02,3.219e+03
167.8,2.117e+03,2.697e+02,1.752e+02,2.562e+03
169.4,1.843e+03,1.281e+02,1.024e+02,2.073e+03
171.0,1.628e+03,1.421e+02,8.075e+01,1.851e+03
172.6,1.432e+03,1.719e+02,7.946e+01,1.683e+03
174.2,1.327e+03,1.969e+02,7.488e+01,1.599e+03
175.8,1.376e+03,2.110e+02,8.170e+01,1.669e+03
177.5,1.449e+03,2.072e+02,7.909e+01,1.735e+03
179.1,1.440e+03,2.045e+02,7.328e+01,1.717e+03
180.7,1.382e+03,1.824e+02,6.785e+01,1.632e+03
182.3,1.352e+03,2.108e+02,8.037e+01,1.643e+03
183.9,1.342e+03,2.213e+02,8.783e+01,1.651e+03
185.5,1.409e+03,2.485e+02,1.099e+02,1.767e+03
187.1,1.335e+03,2.807e+02,1.536e+02,1.769e+03
188.8,1.206e+03,2.561e+02,1.371e+02,1.599e+03
190.4,1.189e+03,2.424e+02,1.211e+02,1.553e+03
192.0,1.139e+03,1.965e+02,1.061e+02,1.442e+03
193.6,1.199e+03,3.353e+02,1.107e+02,1.645e+03
195.2,1.196e+03,3.973e+02,1.069e+02,1.701e+03
196.8,1.150e+03,5.684e+02,1.047e+02,1.823e+03
198.4,1.117e+03,7.577e+02,1.060e+02,1.981e+03
